date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2019-06-02,506012,2020603.38,1152064.47,4517618.33,50,29,113,40146.46725813266
2019-06-02,506536,2478173.2,1535681.23,4392916.54,521,323,923,4758.28044653917
2019-06-02,506539,2525639.54,1406901.97,5185177.37,907,505,1861,2786.0294540190494
2019-06-02,507515,1234591.75,655473.93,2324424.2,94,50,177,13108.208007458436
2019-06-02,507843,4575557.86,2622104.78,7915211.46,494,283,854,9267.394572216059
2019-06-02,508456,5206193.16,2569125.35,11702474.43,204,101,460,25458.78845406246
2019-06-02,508599,1031765.6,491394.33,2319201.35,8,4,17,133989.8822544643
2019-06-02,509417,2087695.78,1170112.13,4692720.09,126,71,284,16505.57535420991
2019-06-02,509434,1065581.89,632148.9,1847347.59,473,281,820,2251.948052151027
2019-06-02,510003,6753977.01,4599756.12,11095206.55,1044,711,1716,6467.065727351378
2019-06-02,511293,1449203.6,873588.36,2884384.38,210,127,418,6892.899118283148
2019-06-02,551180,2257001.42,1074932.17,4101556.84,599,285,1088,3770.590906279253
2019-06-02,551228,1924769.42,916701.47,4326494.08,416,198,934,4631.573516189545
2019-06-02,551732,1351038.48,933864.86,2425408.26,268,185,482,5035.437668209711
2019-06-02,551736,1622244.71,851515.56,3305965.38,456,240,930,3555.299895986295
2019-06-02,554973,1668269.31,794539.3,3749933.45,42,20,95,39505.5967189729
2019-06-02,555003,1062705.55,646129.64,1743212.0,348,212,571,3050.899327586458
2019-06-02,555421,2556524.21,1217584.49,5746551.87,259,123,582,9875.315006883891
2019-06-02,558754,1988593.17,947098.43,4012316.98,153,73,309,12995.143152099105
2019-06-02,558846,2862653.58,1800372.36,4671376.63,476,299,776,6019.161663393748
2019-06-02,558873,2665193.24,1269339.86,5990818.03,127,60,285,21004.911831732472
2019-06-02,560271,4593338.29,2934654.05,8048754.24,1789,1143,3135,2567.607616209098
2019-06-02,562641,2018113.67,961158.21,4536313.51,9,4,20,223424.51923908343
2019-06-02,563339,1475173.35,889653.39,3289618.61,265,160,591,5563.724251033785
2019-06-02,563342,1594207.33,759265.94,3583457.22,145,69,326,11008.744115753449
2019-06-02,563689,1328996.34,632955.26,2987316.75,49,23,109,27359.00438158198
2019-06-02,564286,3045613.05,1450520.78,5967652.23,33,16,64,92780.03373926932
2019-06-02,564647,1359839.25,647644.66,2609707.98,126,60,242,10785.112817362817
2019-06-02,564895,3956768.33,1884472.65,8894018.62,149,71,335,26534.305091333074
2019-06-02,565724,1865107.74,888286.85,4192386.97,479,228,1078,3890.379667204613
2019-06-02,566061,463958.61,244556.07,885966.39,87,46,166,5350.074248286675
2019-06-02,566403,18848002.85,8976655.41,42366517.18,468,223,1053,40243.90567677599
2019-06-02,566647,6074638.53,2893141.44,13654564.88,663,316,1490,9164.447537856206
2019-06-02,567251,1272322.2,605963.43,2859924.33,165,78,370,7731.889656791536
2019-06-02,567434,1141954.39,543873.66,2052367.69,103,49,185,11083.799460686914
2019-06-02,567538,2328543.35,1109005.15,5234097.1,348,166,782,6690.245491022575
2019-06-02,567554,759791.51,373284.1,1707858.56,36,18,82,20905.758924298974
2019-06-02,567623,1460145.9,789908.5,3282113.85,272,147,612,5364.193511250654
2019-06-02,567645,1182430.75,714096.08,1862438.47,497,300,783,2379.2554658793356
2019-06-02,567662,1058921.74,652932.99,1887815.35,129,80,230,8199.213620356697
2019-06-02,567664,1267880.82,679704.08,2613099.51,167,89,344,7600.93406249449
2019-06-02,567665,1204949.45,573876.09,2708483.8,122,58,275,9838.443692888037
2019-06-03,100181,618691.15,294661.21,1390692.79,20,10,45,30756.037362286443
2019-06-03,100487,908754.25,432808.47,2042696.72,182,87,408,5003.394164301826
2019-06-03,100992,2374495.85,1130890.76,4349246.4,275,131,503,8642.880357122443
2019-06-03,101020,962410.36,458362.89,2163304.42,273,130,613,3526.4746043975583
2019-06-03,101384,785970.81,374330.77,1766704.2,10,5,22,81987.42541622558
2019-06-03,101535,2946213.71,1559092.72,6622495.53,363,192,817,8108.849064195236
2019-06-03,101954,785970.81,374330.77,1766704.2,24,12,54,32448.441098253432
2019-06-03,110365,953814.2,614198.02,1483311.5,627,404,975,1520.7912544024462
2019-06-03,110409,4787072.32,2279917.96,10760375.07,380,181,853,12609.368728596402
2019-06-03,110435,2984372.82,1421354.24,5745914.95,354,169,682,8420.863613999409
2019-06-03,110632,1458755.16,813124.62,2454800.26,187,104,315,7782.727399525774
2019-06-03,200181,684378.94,367580.05,1538346.04,57,31,128,11994.313772743704
2019-06-03,201184,965486.43,459828.08,2170218.96,40,19,90,24239.05544501833
2019-06-03,201351,2192960.5,1556899.41,3959953.0,505,358,912,4343.828913208452
2019-06-03,201486,401671.59,191302.38,902877.29,43,20,96,9447.895089685526
2019-06-03,201632,655171.71,312035.82,1472694.29,134,64,301,4888.217465267933
2019-06-03,201925,1191391.77,567418.82,2678008.77,117,56,262,10223.391686554089
2019-06-03,202502,1057445.95,635800.48,2376925.31,215,129,483,4925.963174196305
2019-06-03,204586,2671935.2,1625452.46,5200277.09,23,14,45,114925.81437780592
2019-06-03,204934,965546.79,459856.7,2105221.5,46,22,101,20839.808939428058
2019-06-03,204964,1129977.19,753690.75,1724291.94,200,134,306,5642.042116574518
2019-06-03,205272,751912.17,358109.9,1690147.53,48,23,109,15559.310103613318
2019-06-03,205582,1939897.02,1203808.87,4234389.3,93,58,204,20788.12546005629
2019-06-03,205611,863738.2,411368.84,1941509.63,137,65,308,6300.150326133339
2019-06-03,205761,1495131.39,958179.91,3360754.84,435,279,979,3434.1161480686696
2019-06-03,206361,797577.38,379858.48,1464339.76,76,36,139,10505.742830358338
2019-06-03,206363,1791197.18,853085.65,3497475.32,125,60,244,14312.772390310342
2019-06-03,206440,6540804.88,3520253.82,13112957.53,1555,837,3117,4206.773328617142
2019-06-03,206471,2846017.23,1380678.03,6397273.74,744,361,1672,3826.5412005380563
2019-06-03,207288,807981.45,480251.72,1816179.74,263,157,592,3066.8244861662915
2019-06-03,207774,1086066.59,517256.07,2441258.9,89,42,199,12260.545693890897
2019-06-03,207802,792785.6,377576.55,1782022.66,65,31,147,12161.404190822628
2019-06-03,207966,2099684.5,1004939.9,4069767.35,61,29,119,34342.478538966505
2019-06-03,208532,1075419.0,512184.97,2417325.69,19,9,42,58105.97751937984
2019-06-03,210022,1995761.14,950512.4,3658756.3,91,43,166,21992.525
2019-06-03,210413,1142109.51,543947.4,2567232.64,19,9,43,59865.244298884034
2019-06-03,212377,1377530.37,656070.37,3096411.21,33,16,74,42009.42932991578
2019-06-03,214099,834434.69,411395.15,1875641.69,123,61,277,6779.985977538586
2019-06-03,214104,1100447.76,524105.47,2129207.17,115,55,222,9597.276106696936
2019-06-03,214781,1278042.79,797119.4,2245037.4,153,95,268,8378.659257920732
2019-06-03,215430,2783073.55,1325482.09,6255789.29,57,27,128,48774.620552645836
2019-06-03,215913,1108950.7,531851.99,2049834.02,49,24,91,22577.01560131613
2019-06-03,216158,1147289.64,586331.02,2333133.84,349,178,710,3287.7802556969336
2019-06-03,216173,597433.45,382038.66,1082512.95,292,187,529,2046.4075523855204
2019-06-03,216424,2968095.91,1413602.04,6671682.1,418,199,940,7094.464883836265
2019-06-03,301577,1148515.44,546998.43,2581631.2,75,36,169,15236.422483146187
2019-06-03,304080,1621978.2,1002620.87,2370856.53,220,136,322,7371.324394765833
2019-06-03,304763,464707.04,221324.13,964123.55,119,57,246,3915.298689101155
2019-06-03,401131,458026.76,274596.5,889202.55,167,100,325,2736.9203972791574
2019-06-03,401534,1344896.81,647404.84,2352354.95,393,189,688,3420.16930955647
2019-06-03,402018,1314369.56,705574.26,2717920.7,64,34,132,20623.2417056456
2019-06-03,402279,1461271.38,827623.87,2967572.73,327,185,663,4474.521479154262
2019-06-03,407120,1125962.03,637050.6,2244503.84,154,87,307,7321.590889676138
2019-06-03,408789,1048888.65,499549.47,2357690.61,226,107,507,4649.133776149978
2019-06-03,501098,1328825.89,632874.1,2986932.94,105,50,236,12648.441760239233
2019-06-03,502221,1792117.83,853524.0,4028320.16,118,56,264,15238.700101112234
2019-06-03,502280,1635323.62,1017617.67,3237165.38,145,90,287,11290.826305756767
2019-06-03,502835,2033922.31,968687.29,4571848.26,248,118,556,8215.760258523138
2019-06-03,506012,1755013.16,1000635.88,3923818.24,44,25,98,40146.46725813266
2019-06-03,506536,2069586.75,1282487.29,3668638.49,435,270,771,4758.28044653917
2019-06-03,506539,1852639.68,1032008.89,3803498.52,665,370,1365,2786.0294540190494
2019-06-03,507515,1115837.57,592424.7,2100840.22,85,45,160,13108.208007458436
2019-06-03,507843,3896708.34,2233077.99,6740876.49,420,241,727,9267.394572216059
2019-06-03,508456,4128430.55,2037276.43,9279880.99,162,80,365,25458.78845406246
2019-06-03,508599,878981.98,418628.87,1975774.55,7,3,15,133989.8822544643
2019-06-03,509417,1773029.05,993747.67,3985412.47,107,60,241,16505.57535420991
2019-06-03,509434,923057.36,547597.25,1600259.64,410,243,711,2251.948052151027
2019-06-03,510003,5739295.47,3908713.26,9428321.99,887,604,1458,6467.065727351378
2019-06-03,511293,1250310.39,753694.16,2488522.2,181,109,361,6892.899118283148
2019-06-03,551180,1920899.59,914858.38,3490772.55,509,243,926,3770.590906279253
2019-06-03,551228,1430877.76,681477.87,3216325.0,309,147,694,4631.573516189545
2019-06-03,551732,1303459.73,900977.49,2339994.31,259,179,465,5035.437668209711
2019-06-03,551736,1430722.71,750985.79,2915663.43,402,211,820,3555.299895986295
2019-06-03,554973,1445184.4,688291.47,3248483.38,37,17,82,39505.5967189729
2019-06-03,555003,1002581.66,609574.04,1644587.81,329,200,539,3050.899327586458
2019-06-03,555421,2352958.89,1120633.37,5288977.99,238,113,536,9875.315006883891
2019-06-03,558754,1784079.37,849695.7,3599676.26,137,65,277,12995.143152099105
2019-06-03,558846,2348523.71,1477027.35,3832401.93,390,245,637,6019.161663393748
2019-06-03,558873,2208199.03,1051689.35,4963587.11,105,50,236,21004.911831732472
2019-06-03,560271,3385364.99,2162887.74,5932062.82,1318,842,2310,2567.607616209098
2019-06-03,562641,2802888.57,1334919.48,6300329.48,13,6,28,223424.51923908343
2019-06-03,563339,1253911.45,756213.78,2796207.05,225,136,503,5563.724251033785
2019-06-03,563342,1345244.86,640693.71,3023839.74,122,58,275,11008.744115753449
2019-06-03,563689,1118489.07,532697.84,2514138.36,41,19,92,27359.00438158198
2019-06-03,564286,2227706.09,1060979.71,4365024.0,24,11,47,92780.03373926932
2019-06-03,564647,1144981.75,545315.43,2197368.52,106,51,204,10785.112817362817
2019-06-03,564895,3247869.29,1546848.45,7300556.8,122,58,275,26534.305091333074
2019-06-03,565724,1583084.88,753968.81,3558456.18,407,194,915,3890.379667204613
2019-06-03,566061,415343.02,218930.25,793131.12,78,41,148,5350.074248286675
2019-06-03,566403,16463869.91,7841174.84,37007466.35,409,195,920,40243.90567677599
