date,shop,genre,predicted_sales
2019-05-23,11018,216158,106
2019-05-24,11018,216158,101
2019-05-25,11018,216158,113
2019-05-26,11018,216158,110
2019-05-27,11018,216158,99
2019-05-28,11018,216158,99
2019-05-29,11018,216158,106
2019-05-30,11018,216158,112
2019-05-31,11018,216158,20
2019-05-01,11246,502221,3999
2019-05-02,11246,502221,3792
2019-05-03,11246,502221,3642
2019-05-04,11246,502221,3837
2019-05-05,11246,502221,6096
2019-05-06,11246,502221,3643
2019-05-07,11246,502221,2181
2019-05-08,11246,502221,1868
2019-05-09,11246,502221,1598
2019-05-10,11246,502221,2300
2019-05-11,11246,502221,1908
2019-05-12,11246,502221,2037
2019-05-13,11246,502221,3348
2019-05-14,11246,502221,3256
2019-05-15,11246,502221,4472
2019-05-16,11246,502221,3118
2019-05-17,11246,502221,3062
2019-05-18,11246,502221,3365
2019-05-19,11246,502221,3340
2019-05-20,11246,502221,4112
2019-05-21,11246,502221,2761
2019-05-22,11246,502221,2827
2019-05-23,11246,502221,2681
2019-05-24,11246,502221,2662
2019-05-25,11246,502221,4331
2019-05-26,11246,502221,4666
2019-05-27,11246,502221,2942
2019-05-28,11246,502221,2687
2019-05-29,11246,502221,2751
2019-05-30,11246,502221,3725
2019-05-31,11246,502221,2626
2019-05-01,11246,558846,45
2019-05-02,11246,558846,44
2019-05-03,11246,558846,43
2019-05-04,11246,558846,45
2019-05-05,11246,558846,67
2019-05-06,11246,558846,44
2019-05-07,11246,558846,44
2019-05-08,11246,558846,45
2019-05-09,11246,558846,44
2019-05-11,11246,558846,50
2019-05-12,11246,558846,54
2019-05-13,11246,558846,48
2019-05-14,11246,558846,48
2019-05-15,11246,558846,62
2019-05-16,11246,558846,48
2019-05-17,11246,558846,47
2019-05-18,11246,558846,50
2019-05-19,11246,558846,49
2019-05-20,11246,558846,455
2019-05-21,11246,558846,335
2019-05-22,11246,558846,346
2019-05-23,11246,558846,337
2019-05-24,11246,558846,1445
2019-05-25,11246,558846,2070
2019-05-26,11246,558846,1631
2019-05-27,11246,558846,1469
2019-05-28,11246,558846,1464
2019-05-29,11246,558846,1512
2019-05-30,11246,558846,1993
2019-05-01,11246,558873,296
2019-05-02,11246,558873,283
2019-05-03,11246,558873,281
2019-05-04,11246,558873,298
2019-05-05,11246,558873,450
2019-05-06,11246,558873,293
2019-05-07,11246,558873,292
2019-05-08,11246,558873,296
2019-05-09,11246,558873,283
2019-05-10,11246,558873,375
2019-05-11,11246,558873,298
2019-05-12,11246,558873,324
2019-05-13,11246,558873,293
2019-05-14,11246,558873,292
2019-05-15,11246,558873,1456
2019-05-16,11246,558873,1024
2019-05-17,11246,558873,1017
