rows,actual_sales,predicted_sales,wmape,median_ape,mean_ape,within_25_percent,within_50_percent,median_absolute_error,genre
779,32946550.0,29400529.81,0.255425,0.195081,0.281309,0.582798,0.892169,5019.99,566061
281,64579746.0,53363233.3,0.446254,0.366954,0.502597,0.30605,0.661922,46301.18,566403
138,13094179.0,10390102.99,0.383026,0.250551,0.328938,0.5,0.775362,13058.37,566647
647,51274700.0,44320545.62,0.363371,0.301139,0.372686,0.425039,0.743431,13988.16,567251
585,37869962.0,33890435.16,0.275128,0.202928,0.336886,0.581197,0.882051,5781.37,567434
12,590845.0,479653.39,0.27184,0.257965,0.269208,0.416667,1.0,12875.99,567538
46,7856264.0,5755842.17,0.3467,0.198948,0.326605,0.565217,0.826087,14611.97,567554
35,1344950.0,1255300.92,0.347596,0.334553,0.343248,0.428571,0.742857,10393.13,567623
113,7197762.0,6509426.2,0.21489,0.150549,0.198278,0.752212,0.938053,7008.41,567645
1159,83211695.0,76410157.33,0.228888,0.168033,0.213088,0.648835,0.946506,7121.09,567662
1171,185508488.0,156182133.82,0.338972,0.213191,0.26516,0.566183,0.878736,11591.54,567664
223,15416024.0,13701919.58,0.429239,0.329788,0.423546,0.340807,0.704036,18076.77,567665
