genre,event,factor,rows
215913,zero-five,1.6881,408
216158,39shop,1.0619,5
216158,black-friday,0.7734,14
216158,eagles,0.65,10
216158,event,0.65,189
216158,fashionthesale,0.65,40
216158,fathers-day,1.4973,17
216158,ichiba-day,1.0167,45
216158,marathon,1.2353,471
216158,mothers-day,1.4973,17
216158,point-back,0.65,24
216158,supersale,0.9412,745
216158,thank-you,0.65,19
216158,wonderful-day,1.2201,37
216158,zero-five,1.7012,267
216173,39shop,0.6966,12
216173,black-friday,1.426,88
216173,eagles,0.8608,34
216173,event,0.8133,220
216173,fashionthesale,1.0767,265
216173,fathers-day,1.8589,32
216173,ichiba-day,1.0407,121
216173,marathon,1.2592,1273
216173,mothers-day,1.8589,32
216173,point-back,0.9655,44
216173,supersale,1.1366,533
216173,thank-you,1.0645,88
216173,wonderful-day,1.1429,103
216173,zero-five,2.0882,763
216424,39shop,1.3094,6
216424,event,1.1866,42
216424,fashionthesale,0.9034,21
216424,ichiba-day,1.2571,7
216424,marathon,1.0244,74
216424,point-back,1.296,7
216424,supersale,1.952,38
216424,wonderful-day,1.6,7
216424,zero-five,2.4,33
301577,black-friday,2.267,6
301577,event,1.62,11
301577,fashionthesale,1.8705,10
301577,marathon,0.65,25
301577,supersale,0.65,45
301577,thank-you,2.0857,5
301577,zero-five,0.8789,17
304080,black-friday,1.4125,11
304080,eagles,1.1024,5
304080,event,0.875,50
304080,fashionthesale,0.964,62
304080,fathers-day,1.5718,8
304080,ichiba-day,1.0133,27
304080,marathon,1.022,276
304080,mothers-day,1.5718,8
304080,point-back,0.8663,12
304080,supersale,1.8021,170
304080,thank-you,1.0,19
304080,wonderful-day,1.28,12
304080,zero-five,2.3807,176
304763,39shop,0.7272,16
304763,black-friday,1.1663,78
304763,eagles,0.8266,26
304763,event,0.9236,222
304763,fashionthesale,0.9701,248
304763,fathers-day,1.0842,32
304763,ichiba-day,1.006,104
304763,marathon,1.2467,1116
304763,mothers-day,1.0842,32
304763,point-back,0.8313,45
304763,supersale,1.1786,415
304763,thank-you,0.9193,78
304763,wonderful-day,1.0935,93
304763,zero-five,1.8214,683
401131,black-friday,1.7578,45
401131,eagles,0.9586,24
401131,event,1.0667,25
401131,fashionthesale,0.7389,95
401131,fathers-day,1.7833,39
401131,ichiba-day,0.9516,49
401131,marathon,1.3185,654
401131,mothers-day,1.7833,39
401131,point-back,1.514,24
401131,supersale,1.6866,177
401131,thank-you,1.3914,45
401131,wonderful-day,1.227,51
401131,zero-five,1.8312,374
401534,black-friday,0.9832,13
401534,eagles,0.65,5
401534,event,0.8926,58
401534,fashionthesale,0.9407,55
401534,ichiba-day,1.0,31
401534,marathon,1.2,263
401534,point-back,1.4013,5
401534,supersale,1.3603,48
401534,thank-you,0.921,15
401534,wonderful-day,1.1503,32
401534,zero-five,1.6214,157
402018,black-friday,1.5278,18
402018,eagles,0.9722,7
402018,fashionthesale,0.7893,47
402018,fathers-day,1.0594,14
402018,ichiba-day,1.0884,34
402018,marathon,0.9664,292
402018,mothers-day,1.0594,14
402018,point-back,2.4,15
402018,supersale,2.4,89
402018,thank-you,1.5292,41
402018,wonderful-day,1.3073,37
402018,zero-five,2.0172,184
402279,black-friday,0.9631,8
402279,eagles,0.65,8
402279,event,0.7336,16
402279,fashionthesale,0.7387,11
