genre,lag_profile,lag_7_weight,lag_28_weight,lag_90_weight,seasonal_weight,prediction_scale,validation_wape
216424,recent,0.7,0.2,0.1,0.1,0.9921172899255484,0.42791836662322563
502221,recent,0.7,0.2,0.1,0.25,1.0176805537676195,0.2968048041659223
101535,recent,0.7,0.2,0.1,0.25,0.9676890951650123,0.40664284956001406
110409,recent,0.7,0.2,0.1,0.45,1.1669863478365115,0.5075585103845607
201351,two_week,0.58,0.34,0.08,0.1,0.9727654885777777,0.3849093758174044
207774,very_long,0.1,0.25,0.65,0.6,1.3194988867535997,0.4038935099843324
214099,very_recent,0.84,0.12,0.04,0.15,0.9390654566725398,0.4653408892018524
566647,very_recent,0.84,0.12,0.04,0.15,0.8723702321654508,0.48428745480206237
567645,balanced,0.5,0.3,0.2,0.15,1.0557415397244156,0.3289532784491518
101954,recent,0.7,0.2,0.1,0.35,1.153473623455696,0.5384518678894414
205272,recent,0.7,0.2,0.1,0.25,0.9444186809343127,0.34678621847381563
100487,recent,0.7,0.2,0.1,0.1,0.9820556157921356,0.3163570521982527
204934,month,0.25,0.55,0.2,0.0,1.0087407414291256,0.24775060509126393
207966,very_recent,0.84,0.12,0.04,0.0,0.9979152164775328,0.1951915182130979
565724,month,0.25,0.55,0.2,0.1,1.0085320648196971,0.27514118037855284
402018,recent,0.7,0.2,0.1,0.45,1.14171183388472,0.28581564441745794
502280,recent,0.7,0.2,0.1,0.25,0.9665426834611284,0.24819324994018363
567538,two_week,0.58,0.34,0.08,0.1,1.0202608349477942,0.3871957760008753
304080,balanced,0.5,0.3,0.2,0.25,0.9616169046019033,0.3569647787105088
401131,very_recent,0.84,0.12,0.04,0.0,1.0167711093245266,0.3890425356541207
506536,two_week,0.58,0.34,0.08,0.1,0.9325851632926118,0.38641639612717416
506539,very_recent,0.84,0.12,0.04,0.0,0.9328061200407076,0.4156980201632701
564647,very_recent,0.84,0.12,0.04,0.15,0.924740816920298,0.448803014907994
200181,recent,0.7,0.2,0.1,0.1,0.9803171928255922,0.4826013315293022
555003,balanced,0.5,0.3,0.2,0.1,0.9608120592860895,0.26646065354097986
555421,balanced,0.5,0.3,0.2,0.0,1.002268314204993,0.25216183806261977
564895,recent,0.7,0.2,0.1,0.15,0.9536491857381912,0.3624445512365186
201184,very_recent,0.84,0.12,0.04,0.15,0.8937127215600029,0.5691985571597179
501098,balanced,0.5,0.3,0.2,0.15,1.0198323137437708,0.4360294506791626
214104,recent,0.7,0.2,0.1,0.35,0.9141729515942022,0.6003071341511894
566061,recent,0.7,0.2,0.1,0.25,1.019107183280332,0.3371726468486785
110435,recent,0.7,0.2,0.1,0.25,0.9327786021063057,0.599955054554637
567623,balanced,0.5,0.3,0.2,0.45,0.8664818344610745,0.4040167941307253
506012,very_long,0.1,0.25,0.65,0.0,1.0014205910996261,0.22652566320374853
554973,long,0.2,0.3,0.5,0.15,1.0650246618232901,0.2831599379677197
509417,recent,0.7,0.2,0.1,0.1,1.0254268541601201,0.30591302956596106
564286,very_recent,0.84,0.12,0.04,0.15,0.9548760778258182,0.28989605566556664
566403,very_recent,0.84,0.12,0.04,0.15,0.9381258603979764,0.31330440126925424
100992,very_recent,0.84,0.12,0.04,0.0,0.7894831336539166,0.5233493886857757
510003,balanced,0.5,0.3,0.2,0.25,0.8143856286520273,0.5730031972253964
207802,very_recent,0.84,0.12,0.04,0.0,1.0318807344462786,0.49049975216824854
214781,recent,0.7,0.2,0.1,0.25,0.8776198289214252,0.40051036495658265
507843,recent,0.7,0.2,0.1,0.0,0.9868689993125754,0.1956351529854116
567251,very_recent,0.84,0.12,0.04,0.0,0.9950018142845852,0.24371141797141607
101020,recent,0.7,0.2,0.1,0.0,0.9638691998282217,0.27551063425493727
563339,recent,0.7,0.2,0.1,0.25,1.0296372514565688,0.2456710925474425
563342,long,0.2,0.3,0.5,0.45,0.9777749213811945,0.24125268300922703
567662,long,0.2,0.3,0.5,0.35,0.9595971321699481,0.3540581673420949
210022,balanced,0.5,0.3,0.2,0.1,1.0288729609893585,0.23109449731816586
508599,recent,0.7,0.2,0.1,0.0,0.9956212861487276,0.19203791451708466
304763,recent,0.7,0.2,0.1,0.1,0.9150510677793732,0.31999946942316443
201486,very_recent,0.84,0.12,0.04,0.1,0.8587747554275869,0.40147489304335693
567665,very_recent,0.84,0.12,0.04,0.0,1.0088724337209833,0.31886361965343624
567664,very_long,0.1,0.25,0.65,0.75,0.89904638521956,0.46504942815929784
110632,long,0.2,0.3,0.5,0.45,1.0355039203451044,0.3686224398463611
511293,long,0.2,0.3,0.5,0.15,0.9503091064953173,0.36993210260518583
558754,recent,0.7,0.2,0.1,0.75,0.7674012313023233,1.117748060208821
101384,long,0.2,0.3,0.5,0.35,1.209160731843545,0.43663358870592844
562641,very_recent,0.84,0.12,0.04,0.1,1.0111057176087463,0.19903389211302772
