genre,rank,estimated_sales
201632,1,95480.0
201632,2,74195.0
201632,3,49280.0
201632,4,40480.0
201632,5,31150.0
201632,6,31150.0
201632,7,31150.0
201632,8,31150.0
201632,9,31150.0
201632,10,31150.0
201632,11,31150.0
201632,12,27594.0
201632,13,27594.0
201632,14,27594.0
201632,15,27594.0
201632,16,27594.0
201632,17,27594.0
201632,18,20900.0
201632,19,20600.0
201632,20,20600.0
201925,1,91869.0
201925,2,57949.5
201925,3,57695.5
201925,4,57695.5
201925,5,57247.0
201925,6,57247.0
201925,7,57247.0
201925,8,56549.0
201925,9,49894.0
201925,10,45994.0
201925,11,45364.0
201925,12,45364.0
201925,13,45364.0
201925,14,45364.0
201925,15,45364.0
201925,16,45364.0
201925,17,45364.0
201925,18,45364.0
201925,19,45364.0
201925,20,39492.0
202502,1,200317.0
202502,2,121893.0
202502,3,108844.0
202502,4,80877.0
202502,5,76249.0
202502,6,76118.0
202502,7,73929.0
202502,8,68742.0
202502,9,58855.5
202502,10,58855.5
202502,11,58855.5
202502,12,57902.0
202502,13,52371.5
202502,14,51847.0
202502,15,51847.0
202502,16,51847.0
202502,17,44048.0
202502,18,43488.0
202502,19,40821.5
202502,20,37693.5
204586,1,620730.0
204586,2,490050.0
204586,3,490050.0
204586,4,490050.0
204586,5,490050.0
204586,6,490050.0
204586,7,294030.0
204586,8,294030.0
204586,9,294030.0
204586,10,228690.0
204586,11,228690.0
204586,12,228690.0
204586,13,179685.0
204586,14,179685.0
204586,15,179685.0
204586,16,163350.0
204586,17,163350.0
204586,18,163350.0
204586,19,163350.0
204586,20,98010.0
204934,1,100000.0
204934,2,68364.0
204934,3,68364.0
204934,4,59960.0
204934,5,59960.0
204934,6,57074.0
204934,7,50000.0
204934,8,50000.0
204934,9,50000.0
204934,10,50000.0
204934,11,50000.0
204934,12,50000.0
204934,13,50000.0
204934,14,50000.0
204934,15,43201.5
204934,16,43201.5
204934,17,40800.0
204934,18,40800.0
204934,19,40800.0
204934,20,39000.0
204964,1,236780.0
204964,2,117739.0
204964,3,95088.0
204964,4,95088.0
204964,5,91200.0
204964,6,77820.0
204964,7,72000.0
204964,8,72000.0
204964,9,68979.0
204964,10,68979.0
204964,11,68979.0
204964,12,62256.0
204964,13,54336.0
204964,14,54336.0
204964,15,54336.0
204964,16,54336.0
204964,17,50195.5
204964,18,50195.5
204964,19,44803.0
204964,20,39114.0
205272,1,196979.5
205272,2,107997.0
205272,3,99999.0
205272,4,69497.5
205272,5,69497.5
205272,6,61998.0
205272,7,50999.0
205272,8,50999.0
205272,9,47097.0
205272,10,47097.0
205272,11,35948.0
205272,12,35899.0
205272,13,35899.0
205272,14,31597.0
205272,15,31597.0
205272,16,29899.0
205272,17,29899.0
205272,18,29899.0
205272,19,29899.0
205272,20,25999.0
205582,1,376040.0
205582,2,376040.0
205582,3,157080.0
205582,4,157080.0
205582,5,133280.0
205582,6,133280.0
205582,7,133280.0
205582,8,107460.0
205582,9,107460.0
205582,10,107460.0
205582,11,107460.0
205582,12,107460.0
205582,13,107460.0
205582,14,102650.0
205582,15,90410.0
205582,16,90410.0
205582,17,84150.0
205582,18,84150.0
205582,19,84150.0
205582,20,59340.0
205611,1,232440.0
205611,2,89196.0
205611,3,89196.0
205611,4,89196.0
205611,5,89196.0
205611,6,89196.0
205611,7,89196.0
205611,8,89196.0
205611,9,89196.0
205611,10,89196.0
205611,11,89196.0
205611,12,66897.0
205611,13,66897.0
205611,14,66897.0
205611,15,62786.0
205611,16,62786.0
205611,17,59600.0
205611,18,59600.0
205611,19,54242.0
205611,20,44598.0
205761,1,312970.0
205761,2,277200.0
205761,3,181800.0
205761,4,86400.0
205761,5,70200.0
205761,6,65550.0
205761,7,65550.0
205761,8,65550.0
205761,9,65550.0
205761,10,65550.0
205761,11,65550.0
205761,12,65550.0
205761,13,65550.0
205761,14,65550.0
205761,15,43200.0
205761,16,43200.0
205761,17,43200.0
205761,18,43200.0
205761,19,43200.0
205761,20,34500.0
206361,1,129740.0
206361,2,98000.0
206361,3,76860.0
206361,4,67000.0
206361,5,51200.0
206361,6,51200.0
206361,7,48480.0
206361,8,48480.0
206361,9,39200.0
206361,10,39200.0
206361,11,39200.0
206361,12,38970.0
206361,13,38970.0
206361,14,38400.0
206361,15,35570.0
206361,16,35570.0
206361,17,32970.0
206361,18,32970.0
206361,19,31980.0
206361,20,31470.0
206363,1,237600.0
206363,2,155100.0
206363,3,119000.0
206363,4,105600.0
206363,5,92400.0
206363,6,79625.0
206363,7,79625.0
206363,8,79625.0
206363,9,79625.0
206363,10,79625.0
206363,11,67915.0
206363,12,67915.0
206363,13,53815.0
206363,14,52050.0
206363,15,51000.0
206363,16,43375.0
206363,17,43375.0
206363,18,36300.0
206363,19,36300.0
206363,20,35400.0
206440,1,933450.0
206440,2,911400.0
206440,3,911400.0
206440,4,603800.0
206440,5,603800.0
206440,6,456000.0
206440,7,456000.0
206440,8,456000.0
206440,9,456000.0
206440,10,456000.0
206440,11,456000.0
206440,12,456000.0
206440,13,456000.0
206440,14,319380.0
206440,15,319380.0
206440,16,275410.0
206440,17,251560.0
206440,18,251560.0
206440,19,251560.0
206440,20,207480.0
206471,1,395910.0
206471,2,294930.0
206471,3,294930.0
206471,4,227920.0
206471,5,156310.0
206471,6,156310.0
206471,7,154297.0
206471,8,145002.0
206471,9,112905.0
206471,10,112905.0
206471,11,103190.0
206471,12,103190.0
206471,13,103190.0
206471,14,103190.0
206471,15,103190.0
206471,16,103190.0
206471,17,103190.0
206471,18,103190.0
206471,19,103190.0
206471,20,103190.0
207288,1,52080.0
207288,2,31200.0
207288,3,31200.0
207288,4,25200.0
207288,5,25200.0
207288,6,22300.0
207288,7,21600.0
207288,8,20895.0
207288,9,18900.0
207288,10,18900.0
207288,11,17280.0
207288,12,16000.0
207288,13,15900.0
207288,14,15900.0
207288,15,15900.0
207288,16,14697.0
207288,17,14697.0
207288,18,14697.0
207288,19,14697.0
207288,20,13248.5
207774,1,583695.0
207774,2,583695.0
207774,3,265240.0
207774,4,265240.0
207774,5,265240.0
207774,6,265240.0
207774,7,265240.0
207774,8,265240.0
207774,9,265240.0
207774,10,136680.0
207774,11,44930.0
207774,12,44930.0
207774,13,44930.0
207774,14,25150.0
207774,15,25150.0
207774,16,25150.0
207774,17,25150.0
207774,18,25150.0
207774,19,25150.0
207774,20,18707.5
207802,1,82760.0
207802,2,44650.0
207802,3,44650.0
207802,4,32000.0
207802,5,32000.0
207802,6,25600.0
207802,7,24000.0
207802,8,23800.0
207802,9,22146.0
207802,10,21980.0
207802,11,21960.0
207802,12,18614.5
207802,13,16000.0
207802,14,16000.0
207802,15,16000.0
207802,16,16000.0
207802,17,16000.0
207802,18,16000.0
207802,19,16000.0
207802,20,16000.0
207966,1,220800.0
207966,2,164500.0
207966,3,158549.0
207966,4,126629.0
207966,5,110400.0
207966,6,108185.0
207966,7,96346.0
207966,8,96346.0
207966,9,73600.0
207966,10,73600.0
207966,11,73600.0
207966,12,73600.0
207966,13,73600.0
207966,14,73600.0
207966,15,73600.0
207966,16,73600.0
207966,17,61200.0
207966,18,61200.0
207966,19,54182.0
207966,20,54182.0
208532,1,83880.0
208532,2,83880.0
208532,3,83880.0
208532,4,83880.0
208532,5,83880.0
208532,6,83880.0
208532,7,83880.0
208532,8,83880.0
208532,9,83880.0
208532,10,83880.0
208532,11,83880.0
208532,12,83880.0
208532,13,83880.0
208532,14,83880.0
208532,15,83880.0
208532,16,83880.0
208532,17,83880.0
208532,18,83880.0
208532,19,46440.0
208532,20,46440.0
210022,1,160242.0
210022,2,160242.0
210022,3,157689.0
210022,4,124000.0
210022,5,124000.0
210022,6,106920.0
210022,7,106920.0
210022,8,106920.0
210022,9,106920.0
210022,10,106920.0
210022,11,106920.0
210022,12,106920.0
210022,13,106920.0
210022,14,106920.0
210022,15,95433.0
210022,16,75760.5
210022,17,74288.0
210022,18,74288.0
210022,19,74288.0
210022,20,74288.0
210413,1,199200.0
210413,2,99600.0
210413,3,99600.0
210413,4,74480.0
210413,5,74480.0
210413,6,74480.0
210413,7,74480.0
210413,8,74480.0
210413,9,74480.0
210413,10,74480.0
210413,11,63200.0
210413,12,63200.0
210413,13,63200.0
210413,14,52800.0
210413,15,52800.0
210413,16,49800.0
210413,17,30343.5
210413,18,27500.0
210413,19,24992.0
210413,20,24992.0
212377,1,514800.0
212377,2,514800.0
212377,3,514800.0
212377,4,282150.0
212377,5,282150.0
212377,6,282150.0
212377,7,282150.0
212377,8,282150.0
212377,9,282150.0
212377,10,66825.0
212377,11,66825.0
212377,12,66825.0
212377,13,66825.0
