shop,genre,sales,units,page_views
11871,560271,1679109,1025,58466
11873,204934,29595600,1900,204665
11873,204964,0,0,108
11873,207966,720000,47,8074
11965,215913,6230,1,46
11965,501098,1000,5,58
12011,110365,61032,57,2700
12011,206471,9924,4,288
12011,560271,2773984,2062,79386
12028,201632,704860,109,34967
12028,205611,175560,21,1881
12028,206440,68960,7,1783
12028,206471,616260,78,22030
12028,207288,25060,5,2892
12028,563689,0,0,11
12039,207288,157500,33,0
12039,551180,691960,143,496
12039,551736,1414980,440,1706
12055,205582,400,1,21
12080,205582,894568,143,5805
12080,205611,19000,3,712
12080,563689,0,0,205
1216,408789,0,0,2
1216,565724,338196305,83117,546002
12234,101020,5979104,986,17756
12234,205761,776899,202,5032
12234,214781,48901267,10020,110312
12234,216424,363878,57,1288
12234,507843,5000,2,182
12234,567538,0,0,15
12234,567645,28383619,5602,87552
12356,101535,47400,11,892
12356,110435,79659486,13495,400032
12356,207802,46640,6,698
12356,560271,60000,3,323
12406,206440,1141107,152,12281
12406,206471,20130,2,722
12406,207288,19800,4,129
12406,401534,7190,1,86
12406,402279,0,0,233
12406,408789,6666,3,412
12406,551180,1359540,193,19978
12406,551228,0,0,14
12406,551732,0,0,13
12406,551736,0,0,17
12406,558846,4290945,286,41209
12406,558873,1262610,38,15529
12562,202502,0,0,27
12562,205761,0,0,6
12562,401131,0,0,42
12562,402279,0,0,14
12612,110435,0,0,1
12612,207802,1629220,270,8023
12612,214099,0,0,48
12698,100181,0,0,33
12698,100487,0,0,1
12698,101535,0,0,1
12698,200181,0,0,10
12698,201351,0,0,2
12698,201632,3469,1,47
12698,201925,25848839,9498,298418
12698,205272,0,0,2
12698,205582,8400,1,77
12698,205611,14100,4,333
12698,205761,190,1,26
12698,207288,0,0,1
12698,212377,0,0,10
12698,214104,0,0,1
12698,214781,0,0,3
12698,215913,0,0,178
12698,216173,1284,1,21
12698,216424,0,0,1
12698,301577,0,0,11
12698,304080,0,0,2
12698,401534,8224,4,218
12698,402018,0,0,64
12698,402279,16181,6,224
12698,407120,0,0,1
12698,502221,0,0,1
12698,502835,0,0,5
12698,506012,0,0,3
12698,506536,0,0,1
12698,506539,0,0,1
12698,508456,0,0,13
12698,509434,0,0,1
12698,551228,46314,6,701
12698,551732,2000,2,52
12698,551736,0,0,105
12698,555003,0,0,1
12698,555421,0,0,2
12698,558873,0,0,14
12698,560271,17292,2,210
12698,563689,34800,4,102
12698,566647,0,0,11
12698,567554,0,0,16
12698,567645,0,0,1
12805,100487,11509,18,1562
12805,200181,1087169,239,11376
12805,205582,634180,74,8285
12805,206440,6936633,2357,125944
12805,206471,0,0,1
12805,408789,3599,2,946
12805,551180,0,0,10
12805,551732,0,0,15
12805,558846,0,0,28
12805,558873,0,0,4
12805,560271,5736,8,1925
12819,207288,800,1,66
12819,502221,10737685,1257,116768
1286,551228,0,0,90
12879,206361,0,0,245
12879,206440,172480,33,1968
12879,206471,14638,2,1990
12879,216173,51240,37,1462
