date,genre,rank,shop,source,sales,lower_rank,upper_rank,lower_sales,upper_sales
2026-05-27,101535,15,,estimated,38021.23,12,33,40546.0,25852.0
2026-05-27,101535,16,12318,actual,,,,,
2026-05-27,101535,16,,estimated,37215.08,12,33,40546.0,25852.0
2026-05-27,101535,17,1074,actual,,,,,
2026-05-27,101535,17,,estimated,36426.01,12,33,40546.0,25852.0
2026-05-27,101535,18,73512,actual,,,,,
2026-05-27,101535,18,,estimated,35653.68,12,33,40546.0,25852.0
2026-05-27,101535,19,73512,actual,,,,,
2026-05-27,101535,19,,estimated,34897.72,12,33,40546.0,25852.0
2026-05-27,101535,20,5816,actual,,,,,
2026-05-27,101535,20,,estimated,34157.79,12,33,40546.0,25852.0
2026-05-27,110365,1,1237,actual,,,,,
2026-05-27,110365,2,8412,actual,,,,,
2026-05-27,110365,3,12436,actual,,,,,
2026-05-27,110365,4,19023,actual,,,,,
2026-05-27,110365,5,25672,actual,,,,,
2026-05-27,110365,6,1237,actual,,,,,
2026-05-27,110365,7,1237,actual,,,,,
2026-05-27,110365,8,24873,actual,,,,,
2026-05-27,110365,9,60832,actual,,,,,
2026-05-27,110365,10,45748,actual,,,,,
2026-05-27,110365,11,51761,actual,,,,,
2026-05-27,110365,12,1237,actual,,,,,
2026-05-27,110365,13,193,actual,,,,,
2026-05-27,110365,14,1237,actual,,,,,
2026-05-27,110365,15,70412,actual,,,,,
2026-05-27,110365,16,193,actual,,,,,
2026-05-27,110365,17,40635,actual,,,,,
2026-05-27,110365,18,45748,actual,,,,,
2026-05-27,110365,19,70856,actual,,,,,
2026-05-27,110365,20,1237,actual,,,,,
2026-05-27,110409,1,14797,actual,,,,,
2026-05-27,110409,1,,estimated,5868.28,41,72,2400.0,1200.0
2026-05-27,110409,2,14797,actual,,,,,
2026-05-27,110409,2,,estimated,5738.58,41,72,2400.0,1200.0
2026-05-27,110409,3,14461,actual,,,,,
2026-05-27,110409,3,,estimated,5611.74,41,72,2400.0,1200.0
2026-05-27,110409,4,14797,actual,,,,,
2026-05-27,110409,4,,estimated,5487.71,41,72,2400.0,1200.0
2026-05-27,110409,5,71390,actual,,,,,
2026-05-27,110409,5,,estimated,5366.42,41,72,2400.0,1200.0
2026-05-27,110409,6,54639,actual,,,,,
2026-05-27,110409,6,,estimated,5247.81,41,72,2400.0,1200.0
