date,shop,genre,predicted_sales
2026-05-01,,206361,16138434
2026-05-01,,206363,352222
2026-05-01,,206440,42754471
2026-05-01,,206471,21649653
2026-05-01,,207288,2695758
2026-05-01,,207774,8503496
2026-05-01,,207802,3106019
2026-05-01,,207966,2775923
2026-05-01,,208532,243796
2026-05-01,,210022,8669295
2026-05-01,,210413,140456
2026-05-01,,212377,74
2026-05-01,,214099,5795060
2026-05-01,,214104,2299109
2026-05-01,,214781,5247012
2026-05-01,,215430,7420259
2026-05-01,,215913,3461929
2026-05-01,,216158,5815718
2026-05-01,,216173,8677067
2026-05-01,,216424,9852604
2026-05-01,,301577,20700865
2026-05-01,,304080,4984600
2026-05-01,,304763,6016261
2026-05-01,,401131,4657237
2026-05-01,,401534,4720120
2026-05-01,,402018,7125152
2026-05-01,,402279,4702218
2026-05-01,,407120,2320189
2026-05-01,,408789,3128261
2026-05-01,,501098,559711
2026-05-01,,502221,2450339
2026-05-01,,502280,8313423
2026-05-01,,502835,15120105
2026-05-01,,506012,2368168
2026-05-01,,506536,21242207
2026-05-01,,506539,3676160
2026-05-01,,507515,6820846
2026-05-01,,507843,24410907
2026-05-01,,508456,2750350
2026-05-01,,508599,155
2026-05-01,,509417,4822025
2026-05-01,,509434,8354763
2026-05-01,,510003,10513103
2026-05-01,,511293,27264376
2026-05-01,,551180,26080952
2026-05-01,,551228,38427954
2026-05-01,,551732,4937603
2026-05-01,,551736,4777335
2026-05-01,,554973,6573623
2026-05-01,,555003,1
2026-05-01,,555421,451254
2026-05-01,,558754,17862485
2026-05-01,,558846,15879601
2026-05-01,,558873,5607395
2026-05-01,,560271,18026693
2026-05-01,,562641,20527773
2026-05-01,,563339,46968569
2026-05-01,,563342,126809739
2026-05-01,,563689,4991456
2026-05-01,,564286,7306923
2026-05-01,,564647,7533881
2026-05-01,,564895,5819328
2026-05-01,,565724,34079411
2026-05-01,,566061,5546311
2026-05-01,,566403,12927143
2026-05-01,,566647,2253430
2026-05-01,,567251,191803
2026-05-01,,567434,15238985
2026-05-01,,567538,6996354
2026-05-01,,567554,66589
2026-05-01,,567623,3254465
2026-05-01,,567645,9477518
2026-05-01,,567662,25127510
2026-05-01,,567664,40840164
2026-05-01,,567665,16784381
