date,genre,predicted_sales,predicted_sales_low,predicted_sales_high
2019-02-01,100487,2336134,2332752,2848224
2019-02-01,100992,11065,11037,12719
2019-02-01,101020,714338,713300,788562
2019-02-01,101535,266094,265705,324507
2019-02-01,101954,38463,38407,46912
2019-02-01,110365,53141,53063,57226
2019-02-01,110409,2733,2733,3331
2019-02-01,110435,22413,22379,24135
2019-02-01,110632,3125,3121,3812
2019-02-01,200181,5478,5478,6289
2019-02-01,201184,720052,718976,775374
2019-02-01,201351,899512,898225,968626
2019-02-01,201632,80368,80277,86536
2019-02-01,201925,2756,2756,2971
2019-02-01,204586,3209,3209,3543
2019-02-01,205582,428474,427871,522524
2019-02-01,205611,1960677,1957833,2111313
2019-02-01,205761,260561,260192,299278
2019-02-01,206361,921478,920149,992279
2019-02-01,206363,2029224,2026229,2185124
2019-02-01,206440,2054085,2051121,2211888
2019-02-01,206471,1469736,1467630,1582676
2019-02-01,207288,847779,846607,912931
2019-02-01,207774,47552,47483,51204
2019-02-01,208532,1908,1908,2326
2019-02-01,212377,6926,6919,7677
2019-02-01,214099,11110,11110,12890
2019-02-01,214104,130,130,161
2019-02-01,214781,517048,516189,556772
2019-02-01,215430,0,0,0
2019-02-01,215913,45330,45266,55281
2019-02-01,216158,2136775,2133693,2300950
2019-02-01,216173,605201,604313,651705
2019-02-01,216424,248822,248477,267931
2019-02-01,301577,1049447,1047943,1130069
2019-02-01,304080,100530,100396,108254
2019-02-01,304763,8524,8519,9177
2019-02-01,401131,71814,71718,79277
2019-02-01,401534,333845,332430,359502
2019-02-01,402279,390633,389965,420655
2019-02-01,407120,12401,12394,14253
2019-02-01,408789,284824,284005,306703
2019-02-01,501098,10372,10357,11602
2019-02-01,502221,1396777,1394761,1702824
2019-02-01,502280,264899,264529,285252
2019-02-01,502835,624362,623457,672334
2019-02-01,506536,45999,45953,49533
2019-02-01,506539,49644256,49572220,53458391
2019-02-01,507843,708684,707663,763136
2019-02-01,508456,184804,184533,199005
2019-02-01,508599,11191,11191,12054
2019-02-01,509417,150198,149977,183171
2019-02-01,509434,3069639,3065182,3527038
2019-02-01,510003,375991,375448,404880
2019-02-01,511293,2580,2580,3148
2019-02-01,551180,1036364,1032310,1115974
2019-02-01,551228,224950,224563,242235
2019-02-01,551732,110946,110823,127489
2019-02-01,551736,232577,232264,256731
2019-02-01,558846,1109782,1108180,1195056
2019-02-01,558873,5137321,5128854,5532027
2019-02-01,560271,967902,966536,1042263
2019-02-01,563339,5177993,5170467,5575818
2019-02-01,563342,1452150,1450046,1563717
2019-02-01,563689,503459,502734,542136
2019-02-01,564647,8639,8631,10535
2019-02-01,564895,214196,213885,246123
2019-02-01,565724,1269230,1267391,1366737
2019-02-01,566061,4368,4368,4707
2019-02-01,566647,87747,87619,94488
2019-02-01,567434,3341,3341,4078
2019-02-01,567538,161193,160960,177943
2019-02-01,567623,257926,257523,277741
2019-02-01,567645,987771,986339,1134996
2019-02-01,567662,7438745,7427948,8010259
2019-02-01,567664,14450736,14429766,15560975
2019-02-01,all,118330803,118154307,128459963
2019-03-01,100181,0,0,0
2019-03-01,100487,3540424,3535291,4316487
2019-03-01,100992,15108,15074,17363
2019-03-01,101020,862147,860894,951733
2019-03-01,101535,383242,382687,467367
2019-03-01,101954,39936,39874,48701
2019-03-01,110365,69451,69351,74790
2019-03-01,110409,6779,6773,8264
2019-03-01,110435,12429,12408,13383
2019-03-01,110632,1249,1249,1525
2019-03-01,200181,6444,6443,7402
2019-03-01,201184,804632,803422,866457
2019-03-01,201351,1426137,1424088,1535711
2019-03-01,201632,110026,109896,118477
2019-03-01,201925,3298,3296,3555
2019-03-01,204586,6849,6841,7560
2019-03-01,205582,1139416,1137789,1389505
2019-03-01,205611,2712332,2708405,2920713
2019-03-01,205761,350333,349831,402388
2019-03-01,206361,1885450,1882700,2030305
2019-03-01,206363,4397547,4391074,4735405
2019-03-01,206440,3846687,3841122,4142231
2019-03-01,206471,3342274,3337446,3599095
2019-03-01,207288,1137480,1135893,1224879
2019-03-01,207774,85543,85421,92116
2019-03-01,208532,1207,1207,1462
2019-03-01,212377,6332,6330,7018
2019-03-01,214099,15545,15539,18031
2019-03-01,214104,1840,1840,2244
2019-03-01,214781,885993,884520,954062
2019-03-01,215430,0,0,0
2019-03-01,215913,47263,47189,57638
2019-03-01,216158,3529548,3524445,3800721
2019-03-01,216173,936454,935068,1008411
2019-03-01,216424,532160,531426,573052
2019-03-01,301577,1555356,1553127,1674855
2019-03-01,304080,86068,85968,92675
2019-03-01,304763,6918,6916,7446
2019-03-01,401131,80680,80565,89064
2019-03-01,401534,579432,576938,623952
2019-03-01,402279,481961,481132,518987
2019-03-01,407120,21269,21243,24439
2019-03-01,408789,895851,893220,964648
2019-03-01,501098,17293,17267,19342
2019-03-01,502221,3132821,3128284,3819256
2019-03-01,502280,416449,415841,448444
2019-03-01,502835,1259547,1257722,1356316
2019-03-01,506536,160682,160462,173029
2019-03-01,506539,61856634,61766879,66609046
2019-03-01,507843,969855,968453,1044368
2019-03-01,508456,182226,181962,196232
2019-03-01,508599,14714,14714,15840
2019-03-01,509417,166520,166278,203075
2019-03-01,509434,4574352,4567713,5255966
2019-03-01,510003,600386,599519,646512
2019-03-01,511293,1256,1256,1531
2019-03-01,551180,2250796,2241974,2423728
2019-03-01,551228,519393,518485,559296
2019-03-01,551732,247002,246675,283827
2019-03-01,551736,509263,508560,562141
2019-03-01,558846,2124061,2120985,2287246
2019-03-01,558873,5337975,5329185,5748098
2019-03-01,560271,1174292,1172596,1264516
2019-03-01,563339,6607886,6598291,7115563
2019-03-01,563342,2218398,2215179,2388836
2019-03-01,563689,887384,886096,955559
2019-03-01,564647,13284,13268,16199
2019-03-01,564895,169666,169419,194955
2019-03-01,565724,1504473,1502292,1620057
2019-03-01,566061,3161,3161,3404
2019-03-01,566647,83686,83565,90111
2019-03-01,567434,4970,4970,6065
2019-03-01,567538,337156,336669,372195
2019-03-01,567623,352431,351881,379507
2019-03-01,567645,1277497,1275648,1467910
2019-03-01,567662,10093251,10078603,10868709
2019-03-01,567664,22140796,22108667,23841857
2019-03-01,all,167058646,166806460,181632853
2019-04-01,100181,169,169,182
2019-04-01,100487,1642222,1639847,2002206
2019-04-01,100992,13119,13090,15069
2019-04-01,101020,1020530,1019047,1126582
2019-04-01,101535,456865,456203,557152
2019-04-01,101954,36440,36380,44442
2019-04-01,110365,74539,74432,80269
2019-04-01,110409,8811,8803,10745
2019-04-01,110435,445906,445264,480169
2019-04-01,110632,54192,54113,66090
2019-04-01,200181,4540,4540,5211
2019-04-01,201184,1208336,1206525,1301172
2019-04-01,201351,1286188,1284335,1385006
2019-04-01,201632,67063,66993,72222
2019-04-01,201925,5659,5636,6096
2019-04-01,204586,8061,8053,8895
2019-04-01,205582,1076024,1074488,1312181
2019-04-01,205611,73914,73825,79587
2019-04-01,205761,146953,146753,168783
2019-04-01,206361,1213916,1212147,1307179
2019-04-01,206363,2832260,2828085,3049853
2019-04-01,206440,5036107,5028840,5423038
2019-04-01,206471,4164157,4158122,4484109
2019-04-01,207288,872581,871366,939626
2019-04-01,207774,103419,103271,111365
2019-04-01,208532,1095,1095,1330
2019-04-01,212377,5016,5016,5562
2019-04-01,214099,15822,15819,18354
2019-04-01,214104,5257,5257,6414
2019-04-01,214781,874192,872740,941352
2019-04-01,215430,0,0,0
2019-04-01,215913,32043,31997,39079
2019-04-01,216158,4664938,4658184,5023342
2019-04-01,216173,828141,826931,891773
2019-04-01,216424,417803,417234,449897
2019-04-01,301577,1676074,1673671,1804846
2019-04-01,304080,84539,84427,91035
2019-04-01,304763,9537,9533,10271
2019-04-01,401131,434501,433868,479659
2019-04-01,401534,562720,560301,605946
2019-04-01,402279,395461,394787,425843
2019-04-01,407120,17956,17926,20636
2019-04-01,408789,250991,250254,270277
2019-04-01,501098,12066,12046,13496
2019-04-01,502221,1523855,1521651,1857748
2019-04-01,502280,467609,466928,503540
2019-04-01,502835,630124,629213,678539
2019-04-01,506536,109560,109399,117968
2019-04-01,506539,48263886,48193844,51971972
2019-04-01,507843,1439443,1437359,1550040
2019-04-01,508456,132012,131820,142157
2019-04-01,508599,36621,36589,39437
2019-04-01,509417,174338,174090,212601
2019-04-01,509434,3739612,3734184,4296840
2019-04-01,510003,948214,946851,1021075
2019-04-01,511293,58682,58600,71561
2019-04-01,551180,4113795,4097658,4429873
2019-04-01,551228,478404,477576,515148
2019-04-01,551732,151074,150899,173596
2019-04-01,551736,269270,268900,297217
2019-04-01,558846,2070400,2067403,2229470
2019-04-01,558873,1204793,1202813,1297351
2019-04-01,560271,1007783,1006335,1085232
2019-04-01,563339,4681884,4675092,5041584
2019-04-01,563342,1999495,1996594,2153114
2019-04-01,563689,233417,233073,251349
2019-04-01,564647,15374,15356,18745
2019-04-01,564895,225137,224809,258694
2019-04-01,565724,1100455,1098859,1185003
2019-04-01,566061,2412,2412,2601
2019-04-01,566647,130664,130478,140704
2019-04-01,567434,5389,5389,6574
2019-04-01,567538,235560,235222,260041
2019-04-01,567623,703701,702600,757767
2019-04-01,567645,939657,938291,1079723
2019-04-01,567662,11804867,11787739,12711826
2019-04-01,567664,20332983,20303477,21895149
2019-04-01,all,141370593,141152916,153390580
2019-05-01,100181,1550,1550,1665
2019-05-01,100487,1525135,1522926,1859460
2019-05-01,100992,11518,11508,13232
2019-05-01,101020,1009407,1007943,1114298
2019-05-01,101535,399618,399039,487345
2019-05-01,101954,37583,37521,45837
2019-05-01,110365,54945,54867,59170
2019-05-01,110409,6685,6680,8156
2019-05-01,110435,497090,496374,535276
2019-05-01,110632,5816,5816,7091
2019-05-01,200181,4597,4597,5285
2019-05-01,201184,872182,870880,939189
2019-05-01,201351,1191922,1190214,1283508
2019-05-01,201632,60663,60597,65311
2019-05-01,201925,11782,11737,12685
2019-05-01,204586,6092,6084,6725
2019-05-01,205582,1008571,1007146,1229936
2019-05-01,205611,206402,206111,222253
2019-05-01,205761,113559,113417,130423
2019-05-01,206361,1117749,1116120,1203630
2019-05-01,206363,4396431,4389957,4734189
2019-05-01,206440,6535014,6525581,7037109
2019-05-01,206471,3770203,3764727,4059886
2019-05-01,207288,639702,638816,688875
2019-05-01,207774,78951,78837,85018
2019-05-01,208532,34,34,34
2019-05-01,210413,0,0,0
2019-05-01,212377,3857,3856,4271
2019-05-01,214099,16139,16136,18722
2019-05-01,214104,5624,5623,6861
2019-05-01,214781,721683,720487,777128
2019-05-01,215430,0,0,0
2019-05-01,215913,25488,25450,31088
2019-05-01,216158,4234771,4228658,4560118
2019-05-01,216173,582080,581242,626813
2019-05-01,216424,319329,318892,343864
2019-05-01,301577,1795708,1793139,1933657
2019-05-01,304080,42710,42658,45983
2019-05-01,304763,9802,9800,10565
2019-05-01,401131,365027,364500,402960
2019-05-01,401534,534903,532598,575993
2019-05-01,402279,388422,387765,418273
2019-05-01,407120,22784,22754,26176
2019-05-01,408789,218949,218329,235784
2019-05-01,501098,3243,3242,3625
2019-05-01,502221,861399,860161,1050143
2019-05-01,502280,391267,390715,421329
2019-05-01,502835,596513,595648,642338
2019-05-01,506536,36576,36541,39371
2019-05-01,506539,31195357,31150091,33592074
2019-05-01,507843,1633526,1631156,1759027
2019-05-01,508456,156058,155832,168045
2019-05-01,508599,45549,45499,49049
2019-05-01,509417,134708,134514,164277
2019-05-01,509434,2514681,2511031,2889390
2019-05-01,510003,849122,847903,914368
2019-05-01,511293,2309,2309,2816
2019-05-01,551180,5452989,5431584,5871954
2019-05-01,551228,515326,514431,554917
2019-05-01,551732,119211,119089,136980
2019-05-01,551736,195527,195267,215829
2019-05-01,558846,1984707,1981827,2137211
2019-05-01,558873,781911,780644,842004
2019-05-01,560271,857865,856647,923806
2019-05-01,563339,3526339,3521236,3797264
2019-05-01,563342,1890547,1887802,2035796
2019-05-01,563689,88030,87904,94780
2019-05-01,564647,11219,11202,13685
2019-05-01,564895,166534,166292,191350
2019-05-01,565724,1036818,1035313,1116473
2019-05-01,566061,874,874,944
2019-05-01,566647,278966,278562,300397
2019-05-01,567434,5497,5497,6706
2019-05-01,567538,248203,247846,273997
2019-05-01,567623,710932,709827,765555
2019-05-01,567645,876273,874995,1006881
2019-05-01,567662,12052134,12034645,12978092
2019-05-01,567664,16676232,16652033,17957457
2019-05-01,all,118746919,118559125,128771772
2019-06-01,100181,1764,1764,1898
2019-06-01,100487,1832938,1830281,2234729
2019-06-01,100992,3921,3920,4507
2019-06-01,101020,995508,994061,1098957
2019-06-01,101535,730973,729913,891428
2019-06-01,101954,36706,36646,44766
2019-06-01,110365,51942,51870,55927
2019-06-01,110409,2708,2707,3303
2019-06-01,110435,468287,467608,504273
2019-06-01,110632,14092,14069,17186
2019-06-01,200181,9369,9356,10762
2019-06-01,201184,963816,962374,1037861
2019-06-01,201351,1279060,1277223,1377338
2019-06-01,201632,79907,79803,86041
2019-06-01,201925,24536,24440,26422
2019-06-01,204586,5082,5080,5607
2019-06-01,205582,1406576,1404572,1715300
2019-06-01,205611,388942,388386,418825
2019-06-01,205761,171275,171029,196716
2019-06-01,206361,1340629,1338677,1443632
2019-06-01,206363,12499237,12480840,13459540
2019-06-01,206440,6810502,6800683,7333759
2019-06-01,206471,5278773,5271094,5684349
2019-06-01,207288,896276,895035,965144
2019-06-01,207774,155305,155078,167239
2019-06-01,208532,1211,1211,1475
2019-06-01,210413,0,0,0
2019-06-01,212377,2330,2330,2584
2019-06-01,214099,25795,25766,29920
