date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2018-11-01,501098,39624286.92,18871686.06,89067424.56,3132,1493,7045,12648.441760239233
2018-11-01,502221,79715707.8,37965849.78,179184868.17,5231,2493,11756,15238.700101112232
2018-11-01,502280,55317682.99,34422704.65,109502790.62,4901,3049,9699,11290.82630575677
2018-11-01,502835,140496348.07999998,66913577.08,315807516.17,17099,8146,38436,8215.760258523138
2018-11-01,506012,63976844.18,36476948.95,143037956.14,1596,908,3560,40146.46725813266
2018-11-01,506536,84878809.54,52597936.01,150459834.39,17839,11053,31621,4758.28044653917
2018-11-01,506539,137384273.85999998,76529608.77,282052054.78000003,49312,27469,101236,2786.0294540190494
2018-11-01,507515,35699026.53,18953458.75,67212248.1,2726,1446,5124,13108.208007458436
2018-11-01,507843,185778101.59,106463441.07,321375662.27,20048,11490,34680,9267.394572216059
2018-11-01,508456,219044171.38,108092781.54,492367214.83,8604,4245,19338,25458.78845406246
2018-11-01,508599,55143515.38,26262959.82,123951524.51,410,196,923,133989.8822544643
2018-11-01,509417,88327026.68,49505547.6,198541379.92,5351,2999,12030,16505.57535420991
2018-11-01,509434,56348706.57,33428471.86,97689000.11,25022,14844,43383,2251.948052151027
2018-11-01,510003,252702283.32,172101398.34,415130822.56,39074,26611,64193,6467.065727351378
2018-11-01,511293,85161493.88,51335832.589999996,169498929.46,12353,7448,24591,6892.899118283148
2018-11-01,551180,90459301.15,43082653.35,164388003.27,23991,11426,43597,3770.590906279253
2018-11-01,551228,90420772.15,43064304.51,203247699.07999998,19524,9298,43884,4631.573516189545
2018-11-01,551732,51253330.57,35427330.76,92010898.44,10179,7035,18271,5035.437668209711
2018-11-01,551736,51281476.21,26917625.21,104506285.83,14424,7572,29395,3555.299895986295
2018-11-01,554973,51175461.18,24373111.39,115032137.65,1296,616,2915,39505.5967189729
2018-11-01,555003,38551903.34,23439725.07,63238728.0,12637,7684,20732,3050.899327586458
2018-11-01,555421,108229155.86,51545824.13,243277361.01,10962,5222,24634,9875.315006883891
2018-11-01,558754,65520329.55,31205080.16,132198137.15,5042,2401,10172,12995.143152099105
2018-11-01,558846,108922126.65,68503014.63,177742874.85,18092,11378,29529,6019.161663393748
2018-11-01,558873,119547442.03,56936334.06,268718589.8,5691,2709,12793,21004.911831732472
2018-11-01,560271,174475997.07,111471584.95,305728491.59,67953,43413,119073,2567.607616209098
2018-11-01,562641,130971150.64,62377053.38,294396787.29,587,278,1316,223424.51923908343
2018-11-01,563339,65059264.24,39236202.69,145081364.19,11692,7050,26074,5563.724251033785
2018-11-01,563342,74747218.59,35599529.21,168016702.83,6790,3234,15261,11008.744115753449
2018-11-01,563689,57342792.55,27310400.6,128895056.64,2095,997,4710,27359.00438158198
2018-11-01,564286,97392036.92,46384477.2,190832443.28,1049,500,2054,92780.03373926932
2018-11-01,564647,55130161.18,26256599.81,105801926.67,5113,2435,9812,10785.112817362817
2018-11-01,564895,113393068.02,54005217.78,254884795.81,4275,2036,9605,26534.305091333074
2018-11-01,565724,44943059.61,21404833.46,101022951.64,11555,5501,25968,3890.379667204613
2018-11-01,566061,17807532.09,9386479.2,34004917.16,3330,1754,6359,5350.074248286675
2018-11-01,566403,571709172.45,272285414.62,1285087160.3,14207,6763,31936,40243.90567677599
2018-11-01,566647,164943630.83,78556977.7,370760086.61,17996,8572,40457,9164.447537856206
2018-11-01,567251,67457165.41,32127527.9,151630133.14,8722,4157,19610,7731.889656791536
2018-11-01,567434,15514993.2,7389256.93,27884186.95,1399,666,2515,11083.799460686914
2018-11-01,567538,65623706.449999996,31254313.93,147508886.4,9808,4671,22049,6690.245491022575
2018-11-01,567554,31454888.63,15453729.190000001,70704258.66,1503,737,3383,20905.758924298974
2018-11-01,567623,42689111.92,23093917.88,95956530.57,7956,4305,17888,5364.1935112506535
2018-11-01,567645,45664146.16,27577581.53,71925274.34,19192,11591,30228,2379.2554658793356
2018-11-01,567662,40393917.18,24906959.79,72013122.54,4925,3039,8780,8199.213620356697
2018-11-01,567664,65715623.04,35229784.56,135439746.88,8648,4632,17817,7600.93406249449
2018-11-01,567665,36239688.49,17259716.72,81459527.62,3685,1754,8280,9838.443692888037
2018-11-01,all,8124395683.71,4281500165.21,16782158042.46,1070655,591811,2129355,7661.353678713368
2018-12-01,100181,33426352.95,15919822.92,75135715.32000001,1089,516,2442,30756.037362286443
2018-12-01,100487,53749379.29,25598980.61,120817784.54,10742,5116,24146,5003.394164301826
2018-12-01,100992,123592245.4,58862734.97,226377782.35,14298,6808,26192,8642.880357122443
2018-12-01,101020,61201918.72,29148368.779999997,137569595.7,17356,8265,39010,3526.4746043975583
2018-12-01,101384,36523200.99,17394744.05,82096804.48,447,213,1002,81987.42541622558
2018-12-01,101535,131302631.82,69483404.44,295141891.8,16195,8569,36395,8108.849064195236
2018-12-01,101954,36523200.99,17394744.05,82096804.48,1126,534,2529,32448.441098253432
2018-12-01,110365,46145419.81,29714826.92,71762436.7,30343,19537,47188,1520.7912544024462
2018-12-01,110409,230805168.35,109924562.61,518803567.86,18304,8719,41144,12609.368728596402
2018-12-01,110435,148415865.1,70685371.29,285750130.38,17625,8392,33934,8420.863613999409
2018-12-01,110632,91982638.79,51272039.64,154788843.74,11817,6585,19890,7782.727399525774
2018-12-01,200181,33102988.81,17779616.76,74408857.8,2763,1478,6203,11994.313772743704
2018-12-01,201184,54103747.29,25767754.23,121614334.24,2233,1061,5018,24239.05544501833
2018-12-01,201351,126008620.97,89460228.73,227540910.77,29011,20596,52381,4343.828913208452
2018-12-01,201486,24927549.4,11872134.71,56032116.04,2639,1259,5932,9447.895089685526
2018-12-01,201632,39452118.84,18789687.55,88680424.45,8070,3844,18140,4888.217465267933
